369140,34900000,27141000,34900000,CASH,true
375855,19460000,14238000,19460000,CASH,true
375865,7250000,4049000,7250000,CASH,true
375867,15260000,10920000,15260000,CASH,true
375869,11230000,8464000,11230000,CASH,true
375871,27390000,19782000,27390000,CASH,true
375874,9850000,6417000,9850000,CASH,true
375875,10140000,7346000,10140000,CASH,true
375876,12990000,8200000,12990000,CASH,true
375877,15600000,10368000,15600000,CASH,true
375879,12040000,8569000,12040000,CASH,true
375884,18220000,13562000,18220000,CASH,true
375887,13900000,9068000,13900000,CASH,true
375892,40940000,32217000,40940000,CASH,true
375893,18690000,12250000,18690000,CASH,true
375894,17020000,11728000,17020000,CASH,true
375896,14970000,10553000,14970000,CASH,true
375897,32940000,25314000,32940000,CASH,true
375900,22780000,15757000,22780000,CASH,true
375902,11310000,7325000,11310000,CASH,true
375904,16020000,10615000,16020000,CASH,true
375907,12270000,7720000,12270000,CASH,true
375908,27250000,19800000,27250000,CASH,true
375909,18780000,11872000,18780000,CASH,true
375914,28020000,22302000,28020000,CASH,true
375915,10740000,6805000,10740000,CASH,true
375924,17810000,12750000,17810000,CASH,true
375925,15170000,10358000,15170000,CASH,true
375927,12490000,8642000,12490000,CASH,true
375928,12820000,8802000,12820000,CASH,true
375929,21630000,15194000,21630000,CASH,true
375930,54250000,37253000,54250000,CASH,true
375936,15040000,10474000,15040000,CASH,true
375939,21290000,15216000,21290000,CASH,true
375940,17490000,11842000,17490000,CASH,true
375945,11400000,8063000,11400000,CASH,true
375949,46230000,34129000,46230000,CASH,true
375950,19510000,14999000,19510000,CASH,true
375951,26950000,19373000,26950000,CASH,true
375952,13300000,9319000,13300000,CASH,true
375957,17130000,12650000,17130000,CASH,true
375962,29380000,22448000,29380000,CASH,true
375964,19440000,13809000,19440000,CASH,true
375967,11210000,6557000,11210000,CASH,true
375973,11060000,6653000,11060000,CASH,true
375974,19440000,12841000,19440000,CASH,true
375978,13750000,10187000,13750000,CASH,true
375988,14970000,11050000,14970000,CASH,true
375989,9780000,6161000,9780000,CASH,true
